,word
750,slowly
751,police
752,txting
753,member
754,asap
755,discount
756,std
757,dogging
758,hmv
759,fantasy
